% This Fundamental Clustering Problems Suite (FCPS) may serve as a minimal test for new invented cluster algorithms.
%
% Every new invented algorithm should at least cluster the FCPS correctly.
%
% The data sets may be used as long as the following citation is referenced in any publication
% concering any of this data:
%
% Alfred Ultsch, Clustering with SOM: U*C, in Proc. Workshop on Self Organizing Feature Maps ,pp 31-37 Paris 2005.
%
% main problem: none, i.e clear defined clusters
%
@relation Hepta

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5,6,7}

@data
37.3937002875,127.103967544,1
37.3938325225,127.101706656,1
37.3938392525,127.103234328,1
37.3938669475,127.102929188,1
37.393894325,127.100902496,1
37.39390678,127.10306832,1
37.393929785,127.100844408,1
37.3941125275,127.10029552,1
37.394125185,127.101661904,1
37.3942441675,127.102037288,1
37.3943093075,127.10207784,1
37.3943936425,127.10059238,1
37.394406985,127.102573372,1
37.3944334875,127.10182866,1
37.39445868,127.101040316,1
37.3944819975,127.1007051,1
37.3944908775,127.101104172,1
37.39458135,127.10031912,1
37.3946195375,127.103308108,1
37.39463742,127.101665164,1
37.394673095,127.102316864,1
37.394675075,127.102465804,1
37.3947091125,127.102132368,1
37.39475748,127.10137634,1
37.394853165,127.102345,1
37.394965435,127.10379414,1
37.3950135975,127.102597544,1
37.3951540275,127.10098392,1
37.39521965,127.102885176,1
37.3952305375,127.100877512,1
37.395233765,127.103536884,1
37.39525971,127.103161224,1
37.3952729175,127.102274856,1
37.39546669,127.100795428,1
37.3869444875,127.111243496,2
37.386947,127.106866628,2
37.3869777625,127.108090868,2
37.3870222125,127.106728392,2
37.38704275,127.114265256,2
37.3870778675,127.111670136,2
37.3871061675,127.107668192,2
37.3871371375,127.109275724,2
37.387139865,127.114004596,2
37.3871734425,127.106858104,2
37.387249425,127.117543888,2
37.3872756125,127.108990072,2
37.3872767425,127.119325564,2
37.38727723,127.106750316,2
37.387291835,127.109652536,2
37.38729911,127.115872828,2
37.3873161775,127.113302004,2
37.38737187,127.120025564,2
37.3873984825,127.11543062,2
37.3874036925,127.115802852,2
37.38741359,127.113537272,2
37.3874479325,127.111170256,2
37.3874581825,127.115840536,2
37.387496,127.1066049,2
37.3874964925,127.117537976,2
37.3875123675,127.118646084,2
37.3875153725,127.116390924,2
37.387516905,127.106454568,2
37.38754454,127.115965476,2
37.3875856325,127.116915148,2
37.3875894475,127.117952488,2
37.3875958275,127.120920072,2
37.387602715,127.111018148,2
37.38763389,127.117008352,2
37.387675395,127.1130209,2
37.38767753,127.119462132,2
37.387694165,127.118442928,2
37.38769979,127.119387012,2
37.3877465275,127.119728636,2
37.38777067,127.108220988,2
37.3878356375,127.109534736,2
37.3878746475,127.120641336,2
37.38787573,127.11522036,2
37.38790333,127.11923546,2
37.387914875,127.112630456,2
37.387991585,127.112029848,2
37.38805284,127.11981218,2
37.3880601775,127.11871808,2
37.3880637525,127.121446996,2
37.3881494675,127.116846408,2
37.38817437,127.1159754,2
37.3881925275,127.118012116,2
37.388199735,127.117725804,2
37.3882422475,127.121521244,2
37.3882478825,127.107431412,2
37.388281265,127.109994024,2
37.3882880275,127.11542654,2
37.388297415,127.10783098,2
37.388389865,127.111793784,2
37.388393595,127.112802052,2
37.388414555,127.116592436,2
37.3884938475,127.108590404,2
37.3885005875,127.11986654,2
37.3885268075,127.114151392,2
37.38857909,127.108155692,2
37.388582495,127.116261968,2
37.3885894075,127.110241692,2
37.3886054125,127.112102408,2
37.38865835,127.117264452,2
37.3886929675,127.113805608,2
37.3886974575,127.117766512,2
37.3887329,127.115456496,2
37.388747905,127.106778,2
37.38876774,127.113422924,2
37.3887777425,127.118580152,2
37.3888084075,127.107718176,2
37.388829765,127.106114936,2
37.38885328,127.117262276,2
37.38886683,127.110710424,2
37.388925155,127.106323616,2
37.388966545,127.114245124,2
37.388981655,127.110367488,2
37.388999835,127.118695628,2
37.389008725,127.121091328,2
37.3890132875,127.120914,2
37.38904773,127.119294416,2
37.3890671125,127.107058,2
37.389069705,127.109500256,2
37.3890713225,127.114938252,2
37.3890864275,127.108343744,2
37.389096565,127.12015362,2
37.3890991975,127.107591804,2
37.3891736725,127.116277284,2
37.389190995,127.106818,2
37.38920191,127.115288248,2
37.3892767725,127.116687564,2
37.3893398425,127.12013592,2
37.3893523175,127.114693876,2
37.389379725,127.11696638,2
37.389386725,127.121067072,2
37.3904431275,127.112038768,3
37.390714585,127.1113829,3
37.39112452,127.10867456,3
37.391362265,127.109861568,3
37.391366415,127.11116176,3
37.3915939575,127.107484704,3
37.3916279325,127.114107176,3
37.3916342725,127.111543248,3
37.3916523975,127.111186956,3
37.3916562925,127.110544472,3
37.39169489,127.110544976,3
37.391716905,127.10933068,3
37.3917757875,127.110481176,3
37.3919021525,127.109858464,3
37.39190974,127.110370928,3
37.3919142375,127.109865756,3
37.3919164175,127.107737168,3
37.391931775,127.112702172,3
37.39206723,127.110728892,3
37.39212548,127.110794216,3
37.3921377425,127.107888004,3
37.3922105625,127.110370704,3
37.39223522,127.10820522,3
37.39224103,127.110112524,3
37.3922775325,127.10903934,3
37.392318845,127.109932868,3
37.3923415275,127.109318316,3
37.3923477125,127.10956462,3
37.39237985,127.1120575,3
37.3923957,127.10985482,3
37.3923965325,127.110593504,3
37.3924610775,127.109964676,3
37.39250142,127.111448964,3
37.3925354525,127.110437316,3
37.3925641275,127.110882212,3
37.392589885,127.111269604,3
37.3925977775,127.109087852,3
37.39260333,127.10928144,3
37.3926042625,127.108693688,3
37.3926723675,127.110616008,3
37.3927281225,127.112249312,3
37.392768995,127.110984644,3
37.392773375,127.112531372,3
37.39278421,127.110083064,3
37.3928280325,127.112733384,3
37.3928400975,127.109052704,3
37.39284158,127.11161564,3
37.39284492,127.106651912,3
37.3928508125,127.110739044,3
37.3928699025,127.109074576,3
37.3928844225,127.112081656,3
37.39299075,127.109262796,3
37.39301715,127.110073328,3
37.39307626,127.110501756,3
37.3930824575,127.110216632,3
37.3931040725,127.110168152,3
37.3931140025,127.11076728,3
37.3931288675,127.109711352,3
37.393205525,127.109227624,3
37.39322537,127.109958252,3
37.3932489625,127.1087344,3
37.3932492975,127.111150864,3
37.39325978,127.1127191,3
37.393347265,127.108816412,3
37.3933944875,127.111529312,3
37.393406085,127.110225012,3
37.39340731,127.107523232,3
37.393474805,127.11034872,3
37.39353176,127.108628816,3
37.3935318225,127.111666004,3
37.39353752,127.110129392,3
37.39355237,127.110997848,3
37.3936002425,127.108519032,3
37.39361002,127.109077804,3
37.3936361925,127.108643784,3
37.393641415,127.112172692,3
37.3936541925,127.108853508,3
37.393681325,127.107844648,3
37.393728995,127.110158668,3
37.3937350525,127.110982112,3
37.393738825,127.107677332,3
37.3937666375,127.109167164,3
37.393804365,127.110327928,3
37.393809685,127.113393196,3
37.393841775,127.112458444,3
37.3938525825,127.112527916,3
37.3939054525,127.112049192,3
37.39396208,127.111222472,3
37.3940616725,127.112078492,3
37.394083075,127.11033022,3
37.3941242775,127.107988076,3
37.39446458,127.112593676,3
37.3944982425,127.10933268,3
37.3946939025,127.110108336,3
37.39477994,127.10995642,3
37.3949369675,127.10748426,3
37.395102625,127.10833408,3
37.3952487475,127.110827568,3
37.3955888875,127.110001888,3
37.396218745,127.108239612,3
