x1,x2,x3,True_Class,PT_Cluster,FHE_Cluster,Heap_Position
1.4952,0.5609,-0.0020,1,100,270,61
1.0495,-0.0255,-1.1770,1,100,270,253
0.9941,0.0786,-1.1543,1,100,270,250
1.2580,0.5673,0.0819,1,100,270,68
1.3481,-0.0543,0.3241,1,100,270,73
1.2151,-0.7592,-0.2581,1,100,270,197
1.6455,0.6920,-0.4145,1,100,270,79
1.8966,0.0600,-0.9277,1,100,270,157
0.8134,-0.4510,-0.9157,1,100,270,273
1.5958,0.4680,-1.0183,1,100,270,167
1.6723,0.0384,0.2501,1,100,270,54
1.1390,0.7950,-0.2767,1,100,270,96
1.8122,-0.4408,-0.8946,1,100,270,196
1.4109,0.8106,-0.5586,1,100,270,101
1.5110,0.1816,0.3276,1,100,270,51
1.5737,-0.7770,-0.4607,1,100,270,185
1.1550,-0.0313,-1.2786,1,100,270,257
2.0908,-0.1451,-0.3405,1,100,270,85
0.4239,0.0728,-0.4135,1,100,270,225
1.5637,-0.7803,-0.6229,1,100,270,203
0.8736,-0.5453,-0.9937,1,100,270,281
1.9675,0.3234,-0.0476,1,100,270,45
0.7890,0.5254,-0.9457,1,100,270,222
1.4967,-0.8421,-0.3290,1,100,270,182
1.8789,0.0403,0.1860,1,100,270,43
0.8444,0.5727,0.0710,1,100,270,98
2.0702,-0.3746,-0.4332,1,100,270,107
1.0510,-0.3922,0.3195,1,100,270,110
1.8335,0.5532,-0.0268,1,100,270,36
1.8921,-0.5575,-0.0724,1,100,270,99
1.3822,0.2184,-1.3321,1,100,270,233
2.0880,0.3278,-0.7055,1,100,270,93
0.8581,-0.6311,-0.9785,1,100,270,283
1.8382,0.2430,-1.1325,1,100,270,173
1.1614,-0.2057,-1.3411,1,100,270,275
1.9031,-0.0315,-1.1200,1,100,270,183
0.5413,-0.5581,-0.3509,1,100,270,241
0.4423,0.1930,-0.0873,1,100,270,177
1.5847,-0.7114,0.0617,1,100,270,115
1.4965,0.8913,-0.2277,1,100,270,64
1.9312,0.6008,-0.1333,1,100,270,38
1.6390,-0.5194,0.2525,1,100,270,81
1.5377,0.1991,0.4423,1,100,270,34
1.9647,-0.0766,0.2005,1,100,270,41
1.7529,-0.6486,-0.9581,1,100,270,216
0.9725,0.1890,0.4418,1,-1,-1,76
1.9831,-0.2989,0.1207,1,100,270,62
1.3761,-0.7513,-1.0419,1,100,270,258
0.8269,-0.8042,-0.1587,1,100,270,214
0.4652,-0.1755,0.0777,1,100,270,181
1.2959,-0.9801,-0.4635,1,100,270,224
2.0659,0.2095,0.0843,1,100,270,32
1.9233,-0.7032,-0.2468,1,100,270,123
0.5439,-0.1032,-1.1020,1,-1,-1,290
2.0788,-0.4926,-0.1469,1,100,270,87
2.0195,-0.4478,-0.9327,1,100,270,179
-0.6098,1.1508,-0.3852,2,200,337,235
-0.4961,1.0648,-0.2520,2,200,337,218
-0.8085,1.3464,-0.4150,2,200,337,239
-0.4419,1.3654,-0.5135,2,200,337,226
-0.3020,1.1806,-0.4703,2,200,337,219
-0.9034,1.0167,-0.6814,2,200,337,293
-0.3878,1.3867,-0.5479,2,200,337,220
-0.2874,0.9415,-0.3011,2,200,337,212
-0.8221,0.7289,-0.3587,2,200,337,272
-0.2353,1.1866,-0.2806,2,200,337,195
-0.4476,0.6987,-0.4075,2,200,337,248
-0.9909,1.3422,-0.3109,2,200,337,242
-0.2615,1.2537,-0.2419,2,200,337,184
-0.3098,0.7896,-0.3687,2,200,337,231
-0.7516,0.8457,-0.8769,2,200,337,307
-0.3803,1.2629,-0.8772,2,200,337,259
-0.6576,0.7669,-0.0375,2,200,337,229
-1.0792,0.7846,-0.3894,2,200,337,291
-1.0280,1.4550,-0.6183,2,200,337,271
-1.0959,1.4134,-0.2966,2,200,337,246
-0.3587,1.1554,0.0570,2,200,337,169
-0.3500,1.5837,-0.6592,2,200,337,217
-0.3344,0.6302,-0.2189,2,200,337,230
-0.9435,1.4450,-0.8380,2,200,337,286
-0.9567,0.7726,-0.0210,2,200,337,245
-0.3774,1.0180,-1.0182,2,200,337,285
-1.1168,0.7231,-0.2976,2,200,337,288
-1.0023,0.9196,0.0452,2,200,337,236
-0.0705,0.9684,-0.7251,2,200,337,238
-0.5361,1.0806,-1.0953,2,200,337,303
-0.6570,0.4676,-0.6259,2,200,337,300
-0.3511,1.0977,0.1757,2,200,337,158
-0.1480,0.6387,-0.2995,2,200,337,221
-0.0365,1.0758,-0.7904,2,200,337,237
-0.6026,1.7900,-0.4245,2,200,337,200
0.0190,1.0245,-0.6835,2,200,337,228
-0.6353,0.6042,-0.9612,2,200,337,318
-0.8110,0.4766,-0.7593,2,200,337,319
0.0853,1.0620,-0.4426,2,200,337,192
-0.1502,1.2697,0.0575,2,200,337,142
-0.2713,1.4234,0.0901,2,200,337,139
-1.2121,0.7205,-0.6836,2,200,337,324
-1.3728,1.0070,-0.5210,2,200,337,309
-0.6905,1.8415,-0.5238,2,200,337,213
-0.4101,1.6609,-0.0020,2,200,337,146
-0.8557,1.0745,-1.1770,2,200,337,326
-0.9111,1.1786,-1.1543,2,200,337,322
-0.6472,1.6673,0.0819,2,200,337,155
-0.5571,1.0457,0.3241,2,200,337,162
-0.6902,0.3408,-0.2581,2,200,337,277
-0.2597,1.7920,-0.4145,2,200,337,171
-0.0087,1.1600,-0.9277,2,200,337,240
-1.0919,0.6490,-0.9157,2,200,337,341
-0.3094,1.5680,-1.0183,2,200,337,249
-0.2329,1.1384,0.2501,2,200,337,136
-0.7663,1.8950,-0.2767,2,200,337,191
-0.0931,0.6592,-0.8946,2,200,337,276
-0.4943,1.9106,-0.5586,2,200,337,199
-0.3943,1.2816,0.3276,2,200,337,131
-0.3315,0.3230,-0.4607,2,200,337,269
-0.7503,1.0687,-1.2786,2,200,337,327
0.1856,0.9549,-0.3405,2,200,337,178
-1.4814,1.1728,-0.4135,2,200,337,302
-0.3416,0.3197,-0.6229,2,200,337,284
-1.0316,0.5547,-0.9937,2,200,337,345
0.0622,1.4234,-0.0476,2,200,337,122
-1.1163,1.6254,-0.9457,2,200,337,299
-0.4085,0.2579,-0.3290,2,200,337,266
-0.0264,1.1403,0.1860,2,200,337,121
-1.0608,1.6727,0.0710,2,200,337,193
0.1650,0.7254,-0.4332,2,200,337,202
-0.8543,0.7078,0.3195,2,200,337,208
-0.0718,1.6532,-0.0268,2,200,337,112
-0.0131,0.5425,-0.0724,2,200,337,194
-0.5231,1.3184,-1.3321,2,200,337,308
0.1827,1.4278,-0.7055,2,200,337,187
-1.0471,0.4689,-0.9785,2,200,337,350
-0.0671,1.3430,-1.1325,2,200,337,256
-0.7439,0.8943,-1.3411,2,200,337,343
-0.0022,1.0685,-1.1200,2,200,337,267
-1.3640,0.5419,-0.3509,2,200,337,317
-1.4630,1.2930,-0.0873,2,200,337,261
-0.3206,0.3886,0.0617,2,200,337,210
-0.4087,1.9913,-0.2277,2,200,337,150
0.0260,1.7008,-0.1333,2,200,337,113
-0.2662,0.5806,0.2525,2,200,337,175
-0.3676,1.2991,0.4423,2,200,337,108
0.0594,1.0234,0.2005,2,200,337,116
-0.1524,0.4514,-0.9581,2,200,337,296
-0.9328,1.2890,0.4418,2,-1,-1,164
0.0778,0.8011,0.1207,2,200,337,147
-0.5292,0.3487,-1.0419,2,200,337,329
-1.0784,0.2958,-0.1587,2,200,337,295
-1.4400,0.9245,0.0777,2,200,337,265
-0.6094,0.1199,-0.4635,2,200,337,301
0.1606,1.3095,0.0843,2,200,337,102
0.0180,0.3968,-0.2468,2,200,337,215
-1.3613,0.9968,-1.1020,2,-1,-1,353
0.1735,0.6074,-0.1469,2,200,337,180
0.1142,0.6522,-0.9327,2,200,337,264
-0.6098,-1.0492,-0.3852,3,300,385,346
-0.4961,-1.1352,-0.2520,3,300,385,334
-0.8085,-0.8536,-0.4150,3,300,385,351
-0.4419,-0.8346,-0.5135,3,300,385,338
-0.3020,-1.0194,-0.4703,3,300,385,335
-0.9034,-1.1833,-0.6814,3,300,385,376
-0.3878,-0.8133,-0.5479,3,300,385,336
-0.2874,-1.2585,-0.3011,3,300,385,330
-0.8221,-1.4711,-0.3587,3,300,385,368
-0.2353,-1.0134,-0.2806,3,300,385,316
-0.4476,-1.5013,-0.4075,3,300,385,357
-0.9909,-0.8578,-0.3109,3,300,385,354
-0.2615,-0.9463,-0.2419,3,300,385,310
-0.3098,-1.4104,-0.3687,3,300,385,344
-0.7516,-1.3543,-0.8769,3,300,385,384
-0.3803,-0.9371,-0.8772,3,300,385,360
-0.6576,-1.4331,-0.0375,3,300,385,340
-1.0792,-1.4154,-0.3894,3,300,385,375
-1.0280,-0.7450,-0.6183,3,300,385,367
-1.0959,-0.7866,-0.2966,3,300,385,356
-0.3587,-1.0446,0.0570,3,300,385,297
-0.3500,-0.6163,-0.6592,3,300,385,333
-0.3344,-1.5698,-0.2189,3,300,385,342
-0.9435,-0.7550,-0.8380,3,300,385,373
-0.9567,-1.4274,-0.0210,3,300,385,355
-0.3774,-1.1820,-1.0182,3,300,385,372
-1.1168,-1.4769,-0.2976,3,300,385,374
-1.0023,-1.2804,0.0452,3,300,385,347
-0.0705,-1.2316,-0.7251,3,300,385,349
-0.5361,-1.1194,-1.0953,3,300,385,383
-0.6570,-1.7324,-0.6259,3,300,385,380
-0.3511,-1.1023,0.1757,3,300,385,289
-0.1480,-1.5613,-0.2995,3,300,385,337
-0.0365,-1.1242,-0.7904,3,300,385,348
-0.6026,-0.4100,-0.4245,3,300,385,321
0.0190,-1.1755,-0.6835,3,300,385,339
-0.6353,-1.5958,-0.9612,3,300,385,388
-0.8110,-1.7234,-0.7593,3,300,385,389
0.0853,-1.1380,-0.4426,3,300,385,313
-0.1502,-0.9303,0.0575,3,300,385,278
-0.2713,-0.7766,0.0901,3,300,385,274
-1.2121,-1.4795,-0.6836,3,300,385,391
-1.3728,-1.1930,-0.5210,3,300,385,386
-0.6905,-0.3585,-0.5238,3,300,385,331
-0.4101,-0.5391,-0.0020,3,300,385,279
-0.8557,-1.1255,-1.1770,3,300,385,392
-0.9111,-1.0214,-1.1543,3,300,385,390
-0.6472,-0.5327,0.0819,3,300,385,287
-0.5571,-1.1543,0.3241,3,300,385,292
-0.6902,-1.8592,-0.2581,3,300,385,370
-0.2597,-0.4080,-0.4145,3,300,385,298
-0.0087,-1.0400,-0.9277,3,300,385,352
-1.0919,-1.5510,-0.9157,3,300,385,395
-0.3094,-0.6320,-1.0183,3,300,385,358
-0.2329,-1.0616,0.2501,3,300,385,270
-0.7663,-0.3050,-0.2767,3,300,385,312
-0.0931,-1.5408,-0.8946,3,300,385,369
-0.4943,-0.2894,-0.5586,3,300,385,320
-0.3943,-0.9184,0.3276,3,300,385,268
-0.3315,-1.8770,-0.4607,3,300,385,366
-0.7503,-1.1313,-1.2786,3,300,385,393
0.1856,-1.2451,-0.3405,3,300,385,305
-1.4814,-1.0272,-0.4135,3,300,385,382
-0.3416,-1.8803,-0.6229,3,300,385,371
-1.0316,-1.6453,-0.9937,3,300,385,397
0.0622,-0.7766,-0.0476,3,300,385,263
-1.1163,-0.5746,-0.9457,3,300,385,379
-0.4085,-1.9421,-0.3290,3,300,385,364
-0.0264,-1.0597,0.1860,3,300,385,262
-1.0608,-0.5273,0.0710,3,300,385,314
0.1650,-1.4746,-0.4332,3,300,385,323
-0.8543,-1.4922,0.3195,3,300,385,325
-0.0718,-0.5468,-0.0268,3,300,385,254
-0.0131,-1.6575,-0.0724,3,300,385,315
-0.5231,-0.8816,-1.3321,3,300,385,385
0.1827,-0.7722,-0.7055,3,300,385,311
-1.0471,-1.7311,-0.9785,3,300,385,398
-0.0671,-0.8570,-1.1325,3,300,385,359
-0.7439,-1.3057,-1.3411,3,300,385,396
-0.0022,-1.1315,-1.1200,3,300,385,365
-1.3640,-1.6581,-0.3509,3,300,385,387
-1.4630,-0.9070,-0.0873,3,300,385,361
-0.3206,-1.8114,0.0617,3,300,385,328
-0.4087,-0.2087,-0.2277,3,300,385,282
0.0260,-0.4992,-0.1333,3,300,385,255
-0.2662,-1.6194,0.2525,3,300,385,304
-0.3676,-0.9009,0.4423,3,300,385,251
0.0594,-1.1766,0.2005,3,300,385,260
-0.1524,-1.7486,-0.9581,3,300,385,378
-0.9328,-0.9110,0.4418,3,-1,-1,294
0.0778,-1.3989,0.1207,3,300,385,280
-0.5292,-1.8513,-1.0419,3,300,385,394
-1.0784,-1.9042,-0.1587,3,300,385,377
-1.4400,-1.2755,0.0777,3,300,385,363
-0.6094,-2.0801,-0.4635,3,300,385,381
0.1606,-0.8905,0.0843,3,300,385,247
0.0180,-1.8032,-0.2468,3,300,385,332
-1.3613,-1.2032,-1.1020,3,-1,-1,399
0.1735,-1.5926,-0.1469,3,300,385,306
0.1142,-1.5478,-0.9327,3,300,385,362
0.0253,0.0508,1.4111,4,400,188,59
0.1390,-0.0352,1.5443,4,400,188,46
-0.1734,0.2464,1.3813,4,400,188,66
0.1932,0.2654,1.2828,4,400,188,50
0.3331,0.0806,1.3260,4,400,188,47
-0.2683,-0.0833,1.1149,4,400,188,114
0.2473,0.2867,1.2484,4,400,188,48
0.3477,-0.1585,1.4952,4,400,188,39
-0.1870,-0.3711,1.4376,4,400,188,92
0.3998,0.0866,1.5157,4,400,188,29
0.1875,-0.4013,1.3888,4,400,188,74
-0.3558,0.2422,1.4854,4,400,188,69
0.3736,0.1537,1.5544,4,400,188,23
0.3252,-0.3104,1.4276,4,400,188,57
-0.1165,-0.2543,0.9194,4,400,188,141
0.2548,0.1629,0.9191,4,400,188,80
-0.0225,-0.3331,1.7588,4,400,188,53
-0.4441,-0.3154,1.4069,4,400,188,111
-0.3929,0.3550,1.1780,4,400,188,91
-0.4608,0.3134,1.4997,4,400,188,72
0.2764,0.0554,1.8533,4,400,188,18
0.2850,0.4837,1.1371,4,400,188,44
0.3007,-0.4698,1.5774,4,400,188,55
-0.3084,0.3450,0.9583,4,400,188,106
-0.3216,-0.3274,1.7753,4,400,188,71
0.2577,-0.0820,0.7781,4,400,188,105
-0.4818,-0.3769,1.4987,4,400,188,109
-0.3672,-0.1804,1.8414,4,400,188,60
0.5646,-0.1316,1.0711,4,400,188,65
0.0989,-0.0194,0.7010,4,400,188,134
-0.0219,-0.6324,1.1704,4,400,188,128
0.2840,-0.0023,1.9720,4,400,188,15
0.4871,-0.4613,1.4968,4,400,188,49
0.5986,-0.0242,1.0059,4,400,188,63
0.0325,0.6900,1.3718,4,400,188,31
0.6541,-0.0755,1.1128,4,400,188,52
-0.0002,-0.4958,0.8351,4,400,188,156
-0.1759,-0.6234,1.0370,4,400,188,159
0.7204,-0.0380,1.3537,4,400,188,26
0.4849,0.1697,1.8538,4,400,188,10
0.3638,0.3234,1.8864,4,400,188,9
-0.5770,-0.3795,1.1126,4,400,188,168
-0.7377,-0.0930,1.2753,4,400,188,144
-0.0554,0.7415,1.2725,4,400,188,40
0.2250,0.5609,1.7942,4,400,188,11
-0.2206,-0.0255,0.6193,4,400,188,170
-0.2760,0.0786,0.6420,4,400,188,165
-0.0121,0.5673,1.8782,4,400,188,14
0.0779,-0.0543,2.1204,4,400,188,16
-0.0551,-0.7592,1.5382,4,400,188,95
0.3754,0.6920,1.3818,4,400,188,19
0.6264,0.0600,0.8686,4,400,188,67
-0.4568,-0.4510,0.8806,4,400,188,186
0.3257,0.4680,0.7780,4,400,188,75
0.4022,0.0384,2.0464,4,400,188,8
-0.1312,0.7950,1.5196,4,400,188,25
0.5420,-0.4408,0.9017,4,400,188,94
0.1408,0.8106,1.2377,4,400,188,30
0.2408,0.1816,2.1239,4,400,188,7
0.3036,-0.7770,1.3356,4,400,188,89
-0.1152,-0.0313,0.5177,4,400,188,172
0.8207,-0.1451,1.4557,4,400,188,21
-0.8463,0.0728,1.3828,4,400,188,130
0.2935,-0.7803,1.1734,4,400,188,104
-0.3965,-0.5453,0.8026,4,400,188,198
0.6973,0.3234,1.7487,4,400,188,6
-0.4812,0.5254,0.8506,4,400,188,127
0.2266,-0.8421,1.4673,4,400,188,86
0.6087,0.0403,1.9823,4,400,188,5
-0.4257,0.5727,1.8673,4,400,188,27
0.8001,-0.3746,1.3631,4,400,188,33
-0.2192,-0.3922,2.1158,4,400,188,35
0.5633,0.5532,1.7695,4,400,188,2
0.6219,-0.5575,1.7239,4,400,188,28
0.1120,0.2184,0.4641,4,400,188,143
0.8178,0.3278,1.0908,4,400,188,24
-0.4121,-0.6311,0.8178,4,400,188,201
0.5680,0.2430,0.6638,4,400,188,78
-0.1088,-0.2057,0.4552,4,400,188,188
0.6329,-0.0315,0.6763,4,400,188,88
-0.7289,-0.5581,1.4454,4,400,188,153
-0.8279,0.1930,1.7090,4,400,188,82
0.3145,-0.7114,1.8580,4,400,188,37
0.2264,0.8913,1.5686,4,400,188,13
0.6611,0.6008,1.6630,4,400,188,3
0.3689,-0.5194,2.0488,4,400,188,20
0.2675,0.1991,2.2386,4,400,188,1
0.6945,-0.0766,1.9968,4,400,188,4
0.4827,-0.6486,0.8382,4,400,188,119
-0.2977,0.1890,2.2381,4,-1,-1,17
0.7129,-0.2989,1.9170,4,400,188,12
0.1059,-0.7513,0.7544,4,400,188,174
-0.4433,-0.8042,1.6376,4,400,188,117
-0.8049,-0.1755,1.8740,4,400,188,84
0.0257,-0.9801,1.3328,4,400,188,129
0.7957,0.2095,1.8806,4,400,188,0
0.6531,-0.7032,1.5494,4,400,188,42
-0.7262,-0.1032,0.6943,4,-1,-1,206
0.8086,-0.4926,1.6494,4,400,188,22
0.7493,-0.4478,0.8636,4,400,188,83
